PID,차량번호,이전차량번호,차량명,세부 모델,색상,주행거리,최초등록일,홈페이지상태,경과일수(매입일기준),매입유형1,매입유형2,매입유형3,매입담당자,최종수정일,신차가,매입가,지점판매가,할인,할인적용가,예상매출이익,신차가대비,담당자명,RB상담수,E상담수,E URL,RB조회수,RB찜수,E조회수,E찜수,자사몰광고,E광고,지점
C26042100021,12너4035,12너4035,더 뉴맥스크루즈,디젤 2.2 2WD 프레스티지,청색,99889,2016-12-15,판매완료,115,현물,플랫폼,헤이딜러,진용대,2026-07-27,40350000,11680000.0,11700000,0,11700000,18181.0,29.0,김병현,3,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=41919046,7,6,,,,,
C26080700038,174소2359,165허2728,팰리세이드,2.2 디젤 AWD 캘리그래피,흰색,97895,2021-06-23,판매완료,38,위탁매입,위탁매입,NH농협캐피탈,유원일,2026-07-08,51930000,23686540.0,27500000,0,27500000,3466781.0,53.0,금도윤,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42401056,0,0,,,,,
C26081100031,179보1257,179보1257,CLS클래스(3세대),CLS 53 AMG 4매틱+,회색,75734,2022-06-17,판매완료,99,위탁매입,위탁매입,하나캐피탈,김영욱,2026-07-29,131100000,54500000.0,54500000,0,54500000,0.0,42.0,최진영,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42008363,0,0,,,,,
C26081100038,169하6878,169하6878,신형쏘렌토 하이브리드(MQ4),1.6 HEV 2WD 프레스티지,미색,111880,2022-07-12,판매완료,16,위탁매입,위탁매입,NH농협캐피탈,유원일,2026-07-30,40060000,19977190.0,22700000,0,22700000,2475281.0,57.0,구준회,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42521046,0,0,,,,,
C26062500062,261조3818,157하3568,GV70,2.5T AWD 기본형,진회색,100504,2021-03-05,판매완료,134,위탁매입,위탁매입,우리금융캐피탈,한만수,2026-07-14,58300000,29880000.0,27900000,1100000,26800000,-1800000.0,48.0,금도윤,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=41842003,13,7,,,,,
C26080600069,182저8537,182저8537,S클래스(7세대),S580L 4매틱 ,검정,97838,2022-05-04,판매완료,35,위탁매입,위탁매입,하나캐피탈,김영욱,2026-07-10,229120000,86300000.0,86300000,0,86300000,0.0,38.0,이관호,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42413031,1,0,,,,,
C26052810034,227거7857,180호5560,신형 카니발(KA4),9인승 가솔린 노블레스,흰색,85337,2022-05-30,판매완료,73,선물,선물,현대캐피탈,박종만,2026-08-11,39730000,22050150.0,22900000,0,22900000,772590.0,58.0,최진영,1,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42264506,3,1,,,,,
C26020900075,225로2898,225로2898,신형 카니발(KA4),9인승 가솔린 프레스티지,흰색,68411,2023-11-14,판매완료,184,현물,플랫폼,오플내차팔기(바로팔기),장순명,2026-07-24,34580000,23800000.0,21900000,900000,21000000,-1727273.0,63.0,오지희,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=41610715,4,3,,,,,
C26072110058,340모8775,180호9808,GV70,2.5T 2WD 기본형,흰색,105773,2022-08-25,판매완료,22,선물,선물,현대캐피탈,박종만,2026-07-31,56550000,30876300.0,33500000,0,33500000,2385181.0,59.0,김학범,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42482085,3,0,,,,,
C26052600074,45로0217,45로0217,니로,1.6 하이브리드 프레스티지,흰색,101220,2016-10-21,판매완료,79,현물,플랫폼,헤이딜러,신민석,2026-07-31,28050000,10880000.0,12300000,0,12300000,1290909.0,44.0,유봉우,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42095466,6,0,,,,,
C26062910106,175수1243,180호6093,셀토스,1.6 가솔린 2WD 트렌디,흰색,27199,2022-06-27,판매완료,44,선물,선물,현대캐피탈,박종만,2026-08-07,22050000,11025000.0,17600000,0,17600000,5977272.0,80.0,신경식,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42425087,5,0,,,,,
C26041400029,262거5679,262거5679,뉴 신형K5,2.0 가솔린 인텔리전트,청색,105806,2018-09-07,판매완료,122,현물,플랫폼,헤이딜러,송병근,2026-08-13,30870000,12000000.0,12900000,1000000,11900000,818181.0,42.0,함세진,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=41885494,7,4,,,,,
C26042300039,822무7054,822무7054,더 뉴봉고Ⅲ화물,1톤 킹캡 초장축 GL,흰색,51778,2022-05-04,판매완료,108,현물,플랫폼,헤이딜러,이준희,2026-08-12,21930000,16600000.0,16200000,600000,15600000,-363637.0,74.0,김웅현,3,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=41948609,3,0,,,,,
C26013010117,195주5352,180하1775,더 올뉴G80,가솔린 3.5 2WD 기본형,진회색,29805,2023-12-14,판매완료,185,선물,선물,현대캐피탈,박종만,2026-07-15,67650000,40048800.0,38800000,0,38800000,-1135273.0,57.0,이도균,2,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=41610712,7,1,,,,,
C26051800075,16수0662,16수0662,올 뉴쏘렌토,R2.0 2WD 노블레스 스페셜,진회색,118333,2015-11-23,판매완료,85,현물,기타현물,개인매입,진용대,2026-08-06,35200000,10100000.0,11200000,0,11200000,1000000.0,32.0,이관호,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42076382,5,2,,,,,
C26080600072,270오1283,171하1410,더 뉴그랜저IG 하이브리드,2.4 HEV 르블랑,검정,147152,2022-05-18,판매완료,36,위탁매입,위탁매입,우리금융캐피탈,한만수,2026-07-09,41180000,19100000.0,19100000,0,19100000,0.0,46.0,심왕신,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42407567,0,0,,,,,
C26080600073,129로9093,169하6856,신형쏘렌토 하이브리드(MQ4),1.6 HEV 2WD 프레스티지,흰색,61859,2022-07-06,판매완료,20,위탁매입,위탁매입,NH농협캐피탈,유원일,2026-08-06,40060000,22875170.0,25600000,0,25600000,2477118.0,64.0,구준회,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42485663,4,0,,,,,
C26080400025,389고7732,197호3958,신형 카니발(KA4),9인승 디젤 시그니처,미색,39032,2022-11-14,판매완료,21,위탁매입,위탁매입,하나캐피탈,김영욱,2026-07-23,47180000,29500000.0,29500000,0,29500000,0.0,63.0,최진영,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42450037,0,0,,,,,
C26080400034,208서3943,157호6633,신형 카니발(KA4),9인승 가솔린 노블레스,파랑(남색곤색),31138,2022-04-20,판매완료,107,위탁매입,위탁매입,우리금융캐피탈,한만수,2026-08-04,40250000,24390000.0,24400000,0,24400000,9090.0,61.0,유웅현,1,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=41981266,11,2,,,,,
C26080400058,308나8199,157하9484,캐스퍼,가솔린 1.0 터보 인스퍼레이션,초록(연두),13383,2022-03-25,판매완료,86,위탁매입,위탁매입,우리금융캐피탈,한만수,2026-08-04,19600000,14580000.0,14700000,0,14700000,109090.0,75.0,김찬울,2,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42076905,17,1,,,,,
C26081000059,159머4822,220호7006,신형 카니발(KA4),리무진 7인승 가솔린 시그니처,미색,74279,2023-07-11,판매완료,10,위탁매입,위탁매입,하나캐피탈,김영욱,2026-08-03,46830000,27200000.0,27200000,0,27200000,0.0,58.0,김웅현,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42498650,0,0,,,,,
C26080700040,05저5556,05저5556,신형 싼타페,R2.0 2WD 익스클루시브,회색,52271,2019-01-07,판매완료,6,자산,자산,법인자산,정병걸,2026-08-07,33670000,16656840.0,16800000,0,16800000,130145.0,50.0,김나현,0,1,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=41719197,0,0,34.0,5.0,,,
C26080700042,29머0339,29머0339,올 뉴투싼,가솔린 1.6 터보 2WD 모던피버,흰색,128000,2016-07-18,판매완료,2,현물,대차,지점대차,강승원,2026-08-12,29034000,8700000.0,10890000,0,10890000,1990909.0,38.0,,0,0,javascript:;,0,0,,,,,
C26080700071,291무1019,130하2717,GV70,2.5T AWD 기본형,흰색,41445,2024-05-16,판매완료,10,위탁매입,위탁매입,하나캐피탈,김영욱,2026-08-12,58260000,37950000.0,37950000,0,37950000,0.0,65.0,김웅현,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42500763,0,0,,,,,
C26080700072,274고1279,143하1245,디 올뉴스포티지,1.6 가솔린 2WD 시그니처,회색,30223,2022-10-19,판매완료,20,위탁매입,위탁매입,하나캐피탈,김영욱,2026-07-27,33600000,23700000.0,23700000,0,23700000,0.0,71.0,김근호,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42476385,0,0,,,,,
C26080700085,389고7753,221호4317,더 올뉴G80,가솔린 2.5 AWD 기본형,흰색,50708,2023-12-12,판매완료,10,위탁매입,위탁매입,하나캐피탈,김영욱,2026-08-03,63290000,30200000.0,30200000,0,30200000,0.0,48.0,장영석,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42504937,1,0,,,,,
C26051100048,270부5962,270부5962,베리 뉴 티볼리,1.5 가솔린 2WD V1,미색,57209,2021-11-24,판매완료,93,현물,플랫폼,헤이딜러,김인홍,2026-08-05,18530000,8180000.0,9000000,0,9000000,745454.0,49.0,송연호,1,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42026604,9,7,,,,,
C26061500032,29무2583,29무2583,신형 스포티지,R2.0 2WD 노블레스 스페셜,검정,72770,2017-10-20,판매완료,58,현물,플랫폼,헤이딜러,남동호,2026-08-11,31450000,12050000.0,13000000,0,13000000,863636.0,41.0,강현구,1,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42203488,3,0,,,,,
C26051410080,305소5546,178하6062,쏘나타(DN8) 하이브리드,2.0 HEV 프리미엄,,27917,2020-05-08,판매완료,87,선물,선물,현대캐피탈,박종만,2026-08-12,33540000,6710990.0,19600000,0,19600000,11717281.0,58.0,송연호,1,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42090579,8,4,,,,,
C26080700029,120모4845,120모4845,익스플로러(6세대),2.3  AWD 리미티드,흰색,17282,2024-04-01,판매완료,6,현물,기타현물,개인매입,문준영,2026-08-12,68650000,28300000.0,32000000,0,32000000,3363636.0,47.0,김근호,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42516355,27,0,,,,,
