등록일,차량번호,제조사,차량명,세부모델,연식,주행거리,매입가,판매가,외판수리,외판수리비,헤딜수수료,특이사항,상태
26-09-21,280부9126,기아,더뉴기아레이,프레스티지,24,"23,400 km",1356,1530,1,13,25.0,[셀프(기본)] ,장부저장
26-09-18,20나4793,현대,그랜저IG,2.4 프리미엄 스페셜,18,"49,650 km",1428,1600,0,0,25.0,[셀프(기본)] ,장부저장
26-09-18,286러9279,쉐보레(GM대우),더넥스트스파크,LTZ,16,"123,311 km",103,350,7,91,18.5,[셀프(기본)] ,장부저장
26-09-17,343서3340,기아,쏘렌토4세대,HEV1.62WD시그니처,21,"76,777 km",2743,2980,2,26,25.0,[셀프(기본)] ,장부저장
26-09-17,25오2028,현대,싼타페더프라임,디젤2.02WD익스클루시브스페셜,16,"83,000 km",1239,1440,0,0,25.0,[셀프(기본)] ,장부저장
26-09-17,210노9280,기아,더뉴레이,베스트셀렉션,22,"39,000 km",1085,1270,2,26,25.0,[셀프(기본)] ,장부저장
26-09-17,137부1979,르노코리아(삼성),XM3,1.6GTeRE,22,"93,000 km",1124,1310,2,26,25.0,[셀프(기본)] ,장부저장
26-09-17,209러7042,현대,캐스퍼,디에센셜라이트,24,"28,500 km",1210,1370,0,0,25.0,[셀프(기본)] ,장부저장
26-09-17,183노6170,기아,더뉴레이,시그니처,20,"25,980 km",1111,1270,0,0,25.0,[셀프(기본)] ,장부저장
26-09-17,241보9495,기아,더뉴모닝(JA),시그니처,23,"7,373 km",1299,1470,0,0,25.0,[셀프(기본)] ,장부저장
26-08-20,159구3030,현대,투싼(NX4),가솔린1.6터보2WD인스퍼레이션,22,75000 km,1952,2190,0,0,0.0,[셀프(기본)] 1950,
26-08-20,297로2620,기아,더뉴레이,시그니처,21,79000 km,979,1190,0,0,0.0,[셀프(기본)] ,매입완료
26-08-20,51보3571,쉐보레(GM대우),더넥스트스파크,LTZ,17,38588 km,420,620,0,0,0.0,[셀프(기본)] ,
26-08-20,212두9557,쉐보레(GM대우),트레일블레이저,1.3터보2WDRS,21,54000 km,1507,1770,0,0,0.0,[셀프(기본)] ,
26-08-20,53무0986,기아,올뉴쏘렌토,디젤2.02WD노블레스스페셜,15,126066 km,734,1030,0,0,0.0,[셀프(기본)] ,
26-08-24,297로2620,기아,더뉴레이,시그니처,21,"79,000 km",979,1180,0,0,0.0,[셀프(기본)] ,매입완료
26-08-24,101두2235,현대,더뉴캐스퍼,터보인스퍼레이션,24,"48,000 km",1696,1890,0,0,0.0,[셀프(기본)] ,
26-08-24,374구6256,기아,K53세대,1.6터보프레스티지,22,"84,000 km",1597,1780,0,0,0.0,[셀프(기본)] ,
26-08-24,121머5740,기아,더뉴레이,트렌디,1,"98,603 km",610,760,0,0,0.0,[셀프(기본)] ,
26-09-07,203보6341,기아,더뉴기아레이,시그니처,25,"8,410 km",1538,1710,0,0,0.0,[셀프(기본)] ,
26-09-15,176고8859,르노코리아(삼성),더뉴QM6,2.0GDeLE시그니처2WD,22,"16,551 km",1865,2050,0,0,0.0,[셀프(기본)] ,매입완료
